Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,East Bay,2018-2028,11-9051,Food Service Managers,3710,4210,500,0.1,1210,3330,5040,28.11,58454.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9071,Gaming Managers,30,30,0,0.1,10,30,40,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9081,Lodging Managers,310,310,0,-0.0,100,220,310,37.75,78521.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9111,Medical and Health Services Managers,2850,3640,790,0.3,800,1780,3360,71.04,147753.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9121,Natural Sciences Managers,650,700,50,0.1,140,450,650,83.05,172746.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-9131,Postmasters and Mail Superintendents,40,20,-10,-0.3,10,20,10,43.65,90780.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Inland Empire,2018-2028,23-1012,Judicial Law Clerks,120,130,10,0.0,20,40,60,35.36,73554.00,Doctoral or professional degree,None,None
Regional Planning Unit,Inland Empire,2018-2028,11-1021,General and Operations Managers,18850,20770,1920,0.1,4160,13050,19120,48.30,100461.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Inland Empire,2018-2028,11-1031,Legislators,210,220,10,0.0,50,110,170,0.00,56610.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Inland Empire,2018-2028,11-2021,Marketing Managers,970,1070,100,0.1,210,700,1010,53.74,111786.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-9141,"Property, Real Estate, and Community Association Managers",4380,4730,350,0.1,1690,1810,3860,39.63,82447.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9151,Social and Community Service Managers,2570,2830,270,0.1,800,1540,2610,35.19,73196.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,11-9161,Emergency Management Directors,80,80,0,-0.0,20,40,60,64.63,134434.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,East Bay,2018-2028,11-9199,"Managers, All Other",11140,12450,1310,0.1,2990,5950,10240,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-1020,Buyers and Purchasing Agents,3340,3230,-110,-0.0,1030,2390,3310,38.44,79955.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-1031,"Claims Adjusters, Examiners, and Investigators",2290,2150,-140,-0.1,530,1340,1730,44.30,92127.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-1041,Compliance Officers,2660,2860,200,0.1,770,1650,2610,48.18,100208.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-1051,Cost Estimators,2840,2980,140,0.0,740,2130,3010,43.71,90919.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-1071,Human Resources Specialists,5270,5890,610,0.1,1490,4110,6210,40.37,83976.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-1074,Farm Labor Contractors,0,0,0,0.0,0,0,0,0.00,0.00,No formal educational credential,Less than 5 years,Short-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-1075,Labor Relations Specialists,1050,1040,-10,-0.0,280,770,1030,38.68,80467.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-1081,Logisticians,1160,1260,100,0.1,280,870,1250,42.66,88731.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-1111,Management Analysts,8700,9870,1170,0.1,2880,5860,9920,50.07,104142.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-1121,"Meeting, Convention, and Event Planners",1480,1560,80,0.1,490,1240,1810,33.61,69896.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-1131,Fundraisers,900,1030,130,0.1,320,690,1130,34.68,72137.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-1141,"Compensation, Benefits, and Job Analysis Specialists",710,770,60,0.1,240,460,760,39.60,82367.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-1151,Training and Development Specialists,2080,2350,270,0.1,660,1710,2640,36.62,76176.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-1161,Market Research Analysts and Marketing Specialists,6420,8180,1760,0.3,1720,5740,9220,41.12,85524.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-1199,"Business Operations Specialists, All Other",14480,15880,1400,0.1,4120,10450,15970,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-2011,Accountants and Auditors,10680,11470,800,0.1,3120,7200,11120,42.74,88892.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-2021,Appraisers and Assessors of Real Estate,260,260,10,0.0,90,110,200,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-2031,Budget Analysts,260,290,20,0.1,70,150,240,43.57,90620.00,Bachelor's degree,None,None
Regional Planning Unit,Capital,2018-2028,00-0000,"Total, All Occupations",1150260,1253500,103240,0.1,528500,848460,1480200,23.40,48660.00,N/A,N/A,N/A
Regional Planning Unit,Capital,2018-2028,11-1011,Chief Executives,3730,3390,-330,-0.1,950,1580,2200,70.28,146178.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-1021,General and Operations Managers,15320,16690,1370,0.1,3360,10550,15270,50.59,105222.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-1031,Legislators,290,290,0,0.0,70,150,220,0.00,93643.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-2011,Advertising and Promotions Managers,120,120,0,0.0,20,90,110,51.89,107944.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-2021,Marketing Managers,1410,1570,160,0.1,300,1020,1480,70.26,146128.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-2022,Sales Managers,3590,3820,230,0.1,750,2530,3520,59.13,122999.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-2031,Public Relations and Fundraising Managers,510,550,40,0.1,120,330,490,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3011,Administrative Services Managers,2210,2450,240,0.1,640,1300,2180,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-3021,Computer and Information Systems Managers,2810,3070,260,0.1,500,1790,2560,67.62,140650.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3031,Financial Managers,4320,5020,700,0.2,1010,2590,4300,61.33,127560.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3051,Industrial Production Managers,660,700,40,0.1,150,350,530,52.47,109145.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3061,Purchasing Managers,320,340,20,0.1,80,200,300,67.76,140941.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",1060,1260,200,0.2,250,660,1120,44.54,92644.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3111,Compensation and Benefits Managers,120,120,0,0.0,30,70,100,54.79,113978.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3121,Human Resources Managers,930,1020,80,0.1,220,600,910,56.02,116512.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-3131,Training and Development Managers,190,200,10,0.1,50,130,190,59.88,124562.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-9021,Construction Managers,3320,3610,290,0.1,730,1760,2780,50.47,104959.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Capital,2018-2028,11-9031,"Education Administrators, Preschool and Childcare Center/Program",560,600,50,0.1,150,300,500,23.48,48839.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9032,"Education Administrators, Elementary and Secondary School",1550,1630,80,0.1,410,820,1310,0.00,120046.00,Master's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-9033,"Education Administrators, Postsecondary",610,660,50,0.1,160,330,550,65.86,136992.00,Master's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9039,"Education Administrators, All Other",370,420,50,0.1,100,210,360,46.23,96159.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9041,Architectural and Engineering Managers,1500,1610,110,0.1,270,850,1230,78.71,163720.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-9051,Food Service Managers,3300,3820,520,0.2,1080,2990,4600,26.52,55160.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9061,Funeral Service Managers,100,110,20,0.2,30,50,100,0.00,0.00,Associate's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9081,Lodging Managers,270,360,90,0.3,100,230,410,30.80,64056.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9111,Medical and Health Services Managers,2230,2780,550,0.2,610,1370,2530,67.62,140644.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Capital,2018-2028,11-9121,Natural Sciences Managers,510,550,40,0.1,110,350,510,65.87,137015.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Capital,2018-2028,11-9131,Postmasters and Mail Superintendents,70,60,-20,-0.2,20,30,40,38.28,79631.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Capital,2018-2028,11-9141,"Property, Real Estate, and Community Association Managers",5080,5520,440,0.1,1970,2110,4520,29.16,60637.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-2041,Credit Analysts,650,660,10,0.0,140,440,590,47.79,99395.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-2051,Financial Analysts,2690,2960,270,0.1,540,1850,2670,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,13-2052,Personal Financial Advisors,2160,2410,250,0.1,520,1210,1980,53.95,112219.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-2053,Insurance Underwriters,430,440,20,0.0,100,260,380,43.02,89479.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-2061,Financial Examiners,280,300,20,0.1,60,160,240,41.42,86162.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-2071,Credit Counselors,260,270,10,0.1,60,160,240,24.17,50271.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Inland Empire,2018-2028,11-2022,Sales Managers,5720,5980,260,0.0,1190,4000,5450,47.71,99252.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,13-2072,Loan Officers,2470,2530,60,0.0,600,1490,2150,35.25,73318.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,13-2099,"Financial Specialists, All Other",1810,1880,70,0.0,510,1080,1660,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,East Bay,2018-2028,15-1111,Computer and Information Research Scientists,940,1170,230,0.2,150,660,1040,0.00,0.00,Master's degree,None,None
Regional Planning Unit,East Bay,2018-2028,15-1121,Computer Systems Analysts,4920,5310,400,0.1,970,2720,4090,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,15-1122,Information Security Analysts,600,780,180,0.3,100,390,670,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,East Bay,2018-2028,15-1131,Computer Programmers,2800,2740,-60,-0.0,440,1500,1880,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,East Bay,2018-2028,15-1132,"Software Developers, Applications",9870,13430,3560,0.4,1620,6590,11760,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,00-0000,"Total, All Occupations",2419070,2636430,217360,0.1,996620,1733370,2947360,34.21,71149.00,N/A,N/A,N/A
Regional Planning Unit,Bay-Peninsula,2018-2028,11-1011,Chief Executives,7390,7130,-260,-0.0,1930,3230,4900,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-1021,General and Operations Managers,36960,40410,3450,0.1,8110,25480,37040,77.50,161206.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-1031,Legislators,180,180,0,-0.0,50,90,130,0.00,100686.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-2011,Advertising and Promotions Managers,840,930,100,0.1,180,660,940,72.35,150491.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-2021,Marketing Managers,14620,16780,2160,0.1,3190,10740,16090,93.86,195227.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-2022,Sales Managers,15230,16730,1510,0.1,3250,10930,15690,85.86,178588.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-2031,Public Relations and Fundraising Managers,2450,2820,370,0.2,580,1670,2620,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3011,Administrative Services Managers,6550,7210,660,0.1,1890,3840,6390,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3021,Computer and Information Systems Managers,26340,30770,4430,0.2,4890,17380,26700,101.30,210688.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3031,Financial Managers,17110,20630,3520,0.2,4080,10460,18060,86.77,180498.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3051,Industrial Production Managers,2870,2860,-10,-0.0,620,1470,2080,69.32,144184.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3061,Purchasing Managers,1700,1820,120,0.1,420,1050,1590,74.33,154624.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",2070,2240,170,0.1,470,1230,1870,65.53,136319.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3111,Compensation and Benefits Managers,820,880,60,0.1,220,500,770,85.98,178849.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3121,Human Resources Managers,4630,5230,600,0.1,1120,3050,4770,82.20,170987.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-3131,Training and Development Managers,1100,1230,130,0.1,280,750,1160,76.15,158404.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9021,Construction Managers,7300,7680,380,0.1,1570,3810,5760,68.78,143073.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9031,"Education Administrators, Preschool and Childcare Center/Program",1380,1550,160,0.1,380,760,1300,30.82,64088.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9032,"Education Administrators, Elementary and Secondary School",2370,2560,190,0.1,640,1280,2100,0.00,141805.00,Master's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9033,"Education Administrators, Postsecondary",1710,2040,340,0.2,480,970,1790,61.79,128523.00,Master's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9039,"Education Administrators, All Other",1080,1230,160,0.1,300,600,1050,38.60,80288.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9041,Architectural and Engineering Managers,8520,8900,390,0.0,1520,4770,6670,98.90,205710.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9051,Food Service Managers,7170,8270,1100,0.2,2350,6490,9940,35.81,74498.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9061,Funeral Service Managers,200,210,10,0.1,50,100,160,0.00,0.00,Associate's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9081,Lodging Managers,860,860,0,-0.0,270,610,880,40.80,84860.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9111,Medical and Health Services Managers,4330,5050,720,0.2,1150,2560,4430,72.30,150375.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9121,Natural Sciences Managers,2230,2480,250,0.1,500,1580,2330,100.61,209263.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9131,Postmasters and Mail Superintendents,40,20,-10,-0.3,10,20,10,43.75,91011.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9141,"Property, Real Estate, and Community Association Managers",8240,8780,540,0.1,3170,3380,7090,39.10,81325.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9151,Social and Community Service Managers,6140,6870,730,0.1,1930,3720,6380,29.26,60858.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9161,Emergency Management Directors,100,100,0,0.0,30,50,80,62.03,129012.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,11-9199,"Managers, All Other",34640,39020,4370,0.1,9330,18590,32290,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",190,140,-50,-0.2,60,140,150,39.18,81498.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1020,Buyers and Purchasing Agents,8110,7740,-370,-0.0,2500,5760,7890,40.14,83496.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1031,"Claims Adjusters, Examiners, and Investigators",2240,2000,-240,-0.1,510,1290,1550,41.69,86701.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1032,"Insurance Appraisers, Auto Damage",300,250,-50,-0.2,70,170,180,0.00,0.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1041,Compliance Officers,5980,6370,390,0.1,1720,3690,5800,45.66,94971.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1051,Cost Estimators,3540,3730,190,0.1,920,2670,3770,45.98,95628.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1071,Human Resources Specialists,12510,13810,1300,0.1,3510,9690,14510,42.74,88893.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1074,Farm Labor Contractors,10,0,0,-0.4,0,0,0,0.00,0.00,No formal educational credential,Less than 5 years,Short-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1075,Labor Relations Specialists,1190,1150,-40,-0.0,310,860,1140,39.59,82345.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1081,Logisticians,3600,3870,270,0.1,880,2680,3830,47.25,98286.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1111,Management Analysts,24190,27450,3260,0.1,8010,16310,27580,53.57,111420.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1121,"Meeting, Convention, and Event Planners",3150,3470,320,0.1,1060,2710,4090,31.19,64877.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1131,Fundraisers,1670,1840,180,0.1,580,1250,2000,36.80,76539.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1141,"Compensation, Benefits, and Job Analysis Specialists",2390,2630,240,0.1,830,1560,2620,40.76,84770.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1151,Training and Development Specialists,5800,6800,1000,0.2,1880,4880,7760,41.40,86118.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1161,Market Research Analysts and Marketing Specialists,30860,39000,8140,0.3,8220,27480,43840,49.56,103071.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-1199,"Business Operations Specialists, All Other",33880,37950,4070,0.1,9750,24720,38540,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2011,Accountants and Auditors,30250,33230,2970,0.1,8950,20630,32560,45.56,94757.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2021,Appraisers and Assessors of Real Estate,750,780,30,0.0,260,310,600,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2031,Budget Analysts,1200,1300,90,0.1,310,670,1070,48.00,99842.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2041,Credit Analysts,1780,1890,120,0.1,410,1250,1770,49.31,102567.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2051,Financial Analysts,13000,14490,1490,0.1,2640,9020,13150,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2052,Personal Financial Advisors,7820,8750,920,0.1,1880,4380,7180,61.08,127055.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2053,Insurance Underwriters,860,800,-60,-0.1,190,500,630,42.86,89154.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2061,Financial Examiners,1760,1900,140,0.1,380,990,1510,57.34,119283.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2071,Credit Counselors,330,360,30,0.1,80,210,320,27.26,56699.00,Bachelor's degree,None,Moderate-term on-the-job training
