O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
11-2011.00,Advertising and Promotions Managers,27-3043.04,Copy Writers,7
11-2011.00,Advertising and Promotions Managers,27-2012.03,Program Directors,8
11-2011.00,Advertising and Promotions Managers,13-1121.00,"Meeting, Convention, and Event Planners",9
11-2011.00,Advertising and Promotions Managers,13-1161.00,Market Research Analysts and Marketing Specialists,10
11-2021.00,Marketing Managers,11-2031.00,Public Relations and Fundraising Managers,1
11-2021.00,Marketing Managers,11-2022.00,Sales Managers,2
11-2021.00,Marketing Managers,13-1161.00,Market Research Analysts and Marketing Specialists,3
11-2021.00,Marketing Managers,11-2011.00,Advertising and Promotions Managers,4
11-2021.00,Marketing Managers,13-1111.00,Management Analysts,5
11-2021.00,Marketing Managers,27-3031.00,Public Relations Specialists,6
11-2021.00,Marketing Managers,11-3061.00,Purchasing Managers,7
11-2021.00,Marketing Managers,13-1151.00,Training and Development Specialists,8
11-2021.00,Marketing Managers,11-3131.00,Training and Development Managers,9
11-2021.00,Marketing Managers,11-3121.00,Human Resources Managers,10
11-2022.00,Sales Managers,11-2021.00,Marketing Managers,1
11-2022.00,Sales Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,2
11-2022.00,Sales Managers,11-2031.00,Public Relations and Fundraising Managers,3
11-2022.00,Sales Managers,11-3131.00,Training and Development Managers,4
11-2022.00,Sales Managers,11-3121.00,Human Resources Managers,5
11-2022.00,Sales Managers,11-3071.01,Transportation Managers,6
11-2022.00,Sales Managers,11-3031.02,"Financial Managers, Branch or Department",7
11-2022.00,Sales Managers,11-3071.03,Logistics Managers,8
11-2022.00,Sales Managers,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",9
11-2022.00,Sales Managers,11-2011.00,Advertising and Promotions Managers,10
11-2031.00,Public Relations and Fundraising Managers,11-2021.00,Marketing Managers,1
11-2031.00,Public Relations and Fundraising Managers,11-3031.02,"Financial Managers, Branch or Department",2
11-2031.00,Public Relations and Fundraising Managers,11-2011.00,Advertising and Promotions Managers,3
11-2031.00,Public Relations and Fundraising Managers,11-2022.00,Sales Managers,4
11-2031.00,Public Relations and Fundraising Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",5
11-2031.00,Public Relations and Fundraising Managers,13-1071.00,Human Resources Specialists,6
11-2031.00,Public Relations and Fundraising Managers,27-3031.00,Public Relations Specialists,7
11-2031.00,Public Relations and Fundraising Managers,11-3121.00,Human Resources Managers,8
11-2031.00,Public Relations and Fundraising Managers,27-3043.04,Copy Writers,9
11-2031.00,Public Relations and Fundraising Managers,13-1121.00,"Meeting, Convention, and Event Planners",10
11-3011.00,Administrative Services Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
11-3011.00,Administrative Services Managers,11-9141.00,"Property, Real Estate, and Community Association Managers",2
11-3011.00,Administrative Services Managers,43-3061.00,Procurement Clerks,3
11-3011.00,Administrative Services Managers,11-9071.00,Gaming Managers,4
11-3011.00,Administrative Services Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",5
11-3011.00,Administrative Services Managers,11-1021.00,General and Operations Managers,6
11-3011.00,Administrative Services Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,7
11-3011.00,Administrative Services Managers,13-2072.00,Loan Officers,8
11-3011.00,Administrative Services Managers,13-1071.00,Human Resources Specialists,9
11-3011.00,Administrative Services Managers,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",10
11-3021.00,Computer and Information Systems Managers,15-1199.02,Computer Systems Engineers/Architects,1
11-3021.00,Computer and Information Systems Managers,15-1143.00,Computer Network Architects,2
11-3021.00,Computer and Information Systems Managers,13-1081.01,Logistics Engineers,3
11-3021.00,Computer and Information Systems Managers,15-1121.00,Computer Systems Analysts,4
11-3021.00,Computer and Information Systems Managers,27-2012.05,Technical Directors/Managers,5
11-3021.00,Computer and Information Systems Managers,15-1122.00,Information Security Analysts,6
11-3021.00,Computer and Information Systems Managers,11-3071.03,Logistics Managers,7
11-3021.00,Computer and Information Systems Managers,13-1081.02,Logistics Analysts,8
11-3021.00,Computer and Information Systems Managers,13-2099.02,Risk Management Specialists,9
11-3021.00,Computer and Information Systems Managers,15-1133.00,"Software Developers, Systems Software",10
11-3031.01,Treasurers and Controllers,13-2011.02,Auditors,1
11-3031.01,Treasurers and Controllers,11-3111.00,Compensation and Benefits Managers,2
11-3031.01,Treasurers and Controllers,13-2031.00,Budget Analysts,3
11-3031.01,Treasurers and Controllers,13-2099.02,Risk Management Specialists,4
11-3031.01,Treasurers and Controllers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",5
11-3031.01,Treasurers and Controllers,13-2011.01,Accountants,6
11-3031.01,Treasurers and Controllers,15-2011.00,Actuaries,7
11-3031.01,Treasurers and Controllers,13-2051.00,Financial Analysts,8
11-3031.01,Treasurers and Controllers,11-3031.02,"Financial Managers, Branch or Department",9
11-3031.01,Treasurers and Controllers,11-1011.00,Chief Executives,10
11-3031.02,"Financial Managers, Branch or Department",11-2031.00,Public Relations and Fundraising Managers,1
11-3031.02,"Financial Managers, Branch or Department",41-3031.02,"Sales Agents, Financial Services",2
11-3031.02,"Financial Managers, Branch or Department",41-3031.01,"Sales Agents, Securities and Commodities",3
11-3031.02,"Financial Managers, Branch or Department",11-2022.00,Sales Managers,4
11-3031.02,"Financial Managers, Branch or Department",11-2021.00,Marketing Managers,5
11-3031.02,"Financial Managers, Branch or Department",13-2011.02,Auditors,6
11-3031.02,"Financial Managers, Branch or Department",41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,7
11-3031.02,"Financial Managers, Branch or Department",13-2061.00,Financial Examiners,8
11-3031.02,"Financial Managers, Branch or Department",13-1071.00,Human Resources Specialists,9
11-3031.02,"Financial Managers, Branch or Department",11-3111.00,Compensation and Benefits Managers,10
11-3051.00,Industrial Production Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,1
11-3051.00,Industrial Production Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2
11-3051.00,Industrial Production Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,3
11-3051.00,Industrial Production Managers,11-1021.00,General and Operations Managers,4
11-3051.00,Industrial Production Managers,11-9051.00,Food Service Managers,5
11-3051.00,Industrial Production Managers,17-2112.00,Industrial Engineers,6
11-3051.00,Industrial Production Managers,51-8012.00,Power Distributors and Dispatchers,7
11-3051.00,Industrial Production Managers,11-3071.02,Storage and Distribution Managers,8
11-3051.00,Industrial Production Managers,17-3026.00,Industrial Engineering Technicians,9
11-3051.00,Industrial Production Managers,11-3071.03,Logistics Managers,10
11-3061.00,Purchasing Managers,11-3071.03,Logistics Managers,1
11-3061.00,Purchasing Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2
11-3061.00,Purchasing Managers,11-9199.04,Supply Chain Managers,3
11-3061.00,Purchasing Managers,11-3071.01,Transportation Managers,4
11-3061.00,Purchasing Managers,13-1081.02,Logistics Analysts,5
11-3061.00,Purchasing Managers,11-2021.00,Marketing Managers,6
11-3061.00,Purchasing Managers,13-1081.00,Logisticians,7
11-3061.00,Purchasing Managers,11-3131.00,Training and Development Managers,8
11-3061.00,Purchasing Managers,11-1021.00,General and Operations Managers,9
11-3061.00,Purchasing Managers,11-3071.02,Storage and Distribution Managers,10
11-3071.01,Transportation Managers,11-3071.03,Logistics Managers,1
11-3071.01,Transportation Managers,11-9199.04,Supply Chain Managers,2
11-3071.01,Transportation Managers,11-3061.00,Purchasing Managers,3
11-3071.01,Transportation Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4
11-3071.01,Transportation Managers,13-1081.00,Logisticians,5
11-3071.01,Transportation Managers,13-1081.02,Logistics Analysts,6
11-3071.01,Transportation Managers,19-3099.01,Transportation Planners,7
11-3071.01,Transportation Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,8
11-3071.01,Transportation Managers,11-3071.02,Storage and Distribution Managers,9
11-3071.01,Transportation Managers,11-1021.00,General and Operations Managers,10
11-3071.02,Storage and Distribution Managers,11-3071.03,Logistics Managers,1
11-3071.02,Storage and Distribution Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2
11-3071.02,Storage and Distribution Managers,11-3071.01,Transportation Managers,3
11-3071.02,Storage and Distribution Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,4
11-3071.02,Storage and Distribution Managers,13-1081.02,Logistics Analysts,5
11-3071.02,Storage and Distribution Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,6
11-3071.02,Storage and Distribution Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",7
11-3071.02,Storage and Distribution Managers,11-3061.00,Purchasing Managers,8
11-3071.02,Storage and Distribution Managers,11-9199.04,Supply Chain Managers,9
11-3071.02,Storage and Distribution Managers,13-1081.00,Logisticians,10
11-3071.03,Logistics Managers,11-3071.01,Transportation Managers,1
11-3071.03,Logistics Managers,11-9199.04,Supply Chain Managers,2
11-3071.03,Logistics Managers,11-3061.00,Purchasing Managers,3
11-3071.03,Logistics Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4
11-3071.03,Logistics Managers,13-1081.02,Logistics Analysts,5
11-3071.03,Logistics Managers,13-1081.00,Logisticians,6
11-3071.03,Logistics Managers,11-3071.02,Storage and Distribution Managers,7
11-3071.03,Logistics Managers,19-3099.01,Transportation Planners,8
11-3071.03,Logistics Managers,11-1021.00,General and Operations Managers,9
11-3071.03,Logistics Managers,13-1081.01,Logistics Engineers,10
11-3111.00,Compensation and Benefits Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1
11-3111.00,Compensation and Benefits Managers,13-2011.02,Auditors,2
11-3111.00,Compensation and Benefits Managers,13-2099.02,Risk Management Specialists,3
11-3111.00,Compensation and Benefits Managers,11-3121.00,Human Resources Managers,4
11-3111.00,Compensation and Benefits Managers,13-2031.00,Budget Analysts,5
11-3111.00,Compensation and Benefits Managers,13-1161.00,Market Research Analysts and Marketing Specialists,6
11-3111.00,Compensation and Benefits Managers,13-2051.00,Financial Analysts,7
11-3111.00,Compensation and Benefits Managers,13-2011.01,Accountants,8
11-3111.00,Compensation and Benefits Managers,15-2011.00,Actuaries,9
11-3111.00,Compensation and Benefits Managers,13-1071.00,Human Resources Specialists,10
11-3121.00,Human Resources Managers,11-3131.00,Training and Development Managers,1
11-3121.00,Human Resources Managers,11-3111.00,Compensation and Benefits Managers,2
11-3121.00,Human Resources Managers,11-9151.00,Social and Community Service Managers,3
11-3121.00,Human Resources Managers,13-1071.00,Human Resources Specialists,4
11-3121.00,Human Resources Managers,13-1151.00,Training and Development Specialists,5
11-3121.00,Human Resources Managers,11-9033.00,"Education Administrators, Postsecondary",6
11-3121.00,Human Resources Managers,11-2022.00,Sales Managers,7
11-3121.00,Human Resources Managers,11-2031.00,Public Relations and Fundraising Managers,8
11-3121.00,Human Resources Managers,11-2021.00,Marketing Managers,9
11-3121.00,Human Resources Managers,11-3061.00,Purchasing Managers,10
11-3131.00,Training and Development Managers,13-1151.00,Training and Development Specialists,1
11-3131.00,Training and Development Managers,11-3121.00,Human Resources Managers,2
11-3131.00,Training and Development Managers,11-2022.00,Sales Managers,3
11-3131.00,Training and Development Managers,11-2021.00,Marketing Managers,4
11-3131.00,Training and Development Managers,11-3061.00,Purchasing Managers,5
11-3131.00,Training and Development Managers,11-2031.00,Public Relations and Fundraising Managers,6
11-3131.00,Training and Development Managers,11-9033.00,"Education Administrators, Postsecondary",7
11-3131.00,Training and Development Managers,11-9151.00,Social and Community Service Managers,8
11-3131.00,Training and Development Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,9
11-3131.00,Training and Development Managers,11-3071.03,Logistics Managers,10
11-9013.01,Nursery and Greenhouse Managers,11-9013.03,Aquacultural Managers,1
11-9013.01,Nursery and Greenhouse Managers,19-4093.00,Forest and Conservation Technicians,2
11-9013.01,Nursery and Greenhouse Managers,11-3051.00,Industrial Production Managers,3
11-9013.01,Nursery and Greenhouse Managers,45-4011.00,Forest and Conservation Workers,4
11-9013.01,Nursery and Greenhouse Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,5
11-9013.01,Nursery and Greenhouse Managers,33-1021.02,Forest Fire Fighting and Prevention Supervisors,6
11-9013.01,Nursery and Greenhouse Managers,11-1021.00,General and Operations Managers,7
11-9013.01,Nursery and Greenhouse Managers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",8
11-9013.01,Nursery and Greenhouse Managers,45-2011.00,Agricultural Inspectors,9
11-9013.01,Nursery and Greenhouse Managers,19-1031.01,Soil and Water Conservationists,10
11-9013.03,Aquacultural Managers,45-1011.06,First-Line Supervisors of Aquacultural Workers,1
11-9013.03,Aquacultural Managers,19-1031.01,Soil and Water Conservationists,2
11-9013.03,Aquacultural Managers,19-2043.00,Hydrologists,3
11-9013.03,Aquacultural Managers,19-1012.00,Food Scientists and Technologists,4
11-9013.03,Aquacultural Managers,29-9011.00,Occupational Health and Safety Specialists,5
11-9013.03,Aquacultural Managers,19-1031.02,Range Managers,6
11-9013.03,Aquacultural Managers,11-9013.01,Nursery and Greenhouse Managers,7
11-9013.03,Aquacultural Managers,19-4091.00,"Environmental Science and Protection Technicians, Including Health",8
11-9013.03,Aquacultural Managers,17-2121.01,Marine Engineers,9
11-9013.03,Aquacultural Managers,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,10
11-9021.00,Construction Managers,17-2199.03,Energy Engineers,1
11-9021.00,Construction Managers,17-2111.02,Fire-Prevention and Protection Engineers,2
11-9021.00,Construction Managers,17-2051.00,Civil Engineers,3
11-9021.00,Construction Managers,29-9011.00,Occupational Health and Safety Specialists,4
11-9021.00,Construction Managers,17-2051.01,Transportation Engineers,5
11-9021.00,Construction Managers,19-1031.01,Soil and Water Conservationists,6
11-9021.00,Construction Managers,17-2081.00,Environmental Engineers,7
11-9021.00,Construction Managers,11-9041.00,Architectural and Engineering Managers,8
11-9021.00,Construction Managers,11-3071.03,Logistics Managers,9
11-9021.00,Construction Managers,11-1021.00,General and Operations Managers,10
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",21-2021.00,"Directors, Religious Activities and Education",1
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-3121.00,Human Resources Managers,2
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",39-9032.00,Recreation Workers,4
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",43-4051.03,Patient Representatives,5
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",25-2054.00,"Special Education Teachers, Secondary School",6
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",21-1091.00,Health Educators,7
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,8
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",25-2053.00,"Special Education Teachers, Middle School",9
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,10
11-9032.00,"Education Administrators, Elementary and Secondary School",25-9031.00,Instructional Coordinators,1
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9033.00,"Education Administrators, Postsecondary",2
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9151.00,Social and Community Service Managers,3
11-9032.00,"Education Administrators, Elementary and Secondary School",21-2011.00,Clergy,4
11-9032.00,"Education Administrators, Elementary and Secondary School",11-3131.00,Training and Development Managers,5
11-9032.00,"Education Administrators, Elementary and Secondary School",29-1031.00,Dietitians and Nutritionists,6
11-9032.00,"Education Administrators, Elementary and Secondary School",25-1192.00,"Home Economics Teachers, Postsecondary",7
11-9032.00,"Education Administrators, Elementary and Secondary School",25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",8
11-9032.00,"Education Administrators, Elementary and Secondary School",11-3121.00,Human Resources Managers,9
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",10
11-9033.00,"Education Administrators, Postsecondary",11-3121.00,Human Resources Managers,1
11-9033.00,"Education Administrators, Postsecondary",25-9031.00,Instructional Coordinators,2
11-9033.00,"Education Administrators, Postsecondary",11-9032.00,"Education Administrators, Elementary and Secondary School",3
11-9033.00,"Education Administrators, Postsecondary",25-1113.00,"Social Work Teachers, Postsecondary",4
11-9033.00,"Education Administrators, Postsecondary",11-3131.00,Training and Development Managers,5
11-9033.00,"Education Administrators, Postsecondary",25-1082.00,"Library Science Teachers, Postsecondary",6
11-9033.00,"Education Administrators, Postsecondary",21-2011.00,Clergy,7
11-9033.00,"Education Administrators, Postsecondary",13-1151.00,Training and Development Specialists,8
11-9033.00,"Education Administrators, Postsecondary",25-1081.00,"Education Teachers, Postsecondary",9
11-9033.00,"Education Administrators, Postsecondary",21-1012.00,"Educational, Guidance, School, and Vocational Counselors",10
11-9041.00,Architectural and Engineering Managers,17-1011.00,"Architects, Except Landscape and Naval",1
11-9041.00,Architectural and Engineering Managers,17-2199.03,Energy Engineers,2
11-9041.00,Architectural and Engineering Managers,17-2051.01,Transportation Engineers,3
11-9041.00,Architectural and Engineering Managers,17-2111.02,Fire-Prevention and Protection Engineers,4
11-9041.00,Architectural and Engineering Managers,17-2051.00,Civil Engineers,5
11-9041.00,Architectural and Engineering Managers,25-1032.00,"Engineering Teachers, Postsecondary",6
11-9041.00,Architectural and Engineering Managers,13-1081.01,Logistics Engineers,7
11-9041.00,Architectural and Engineering Managers,17-2121.02,Marine Architects,8
11-9041.00,Architectural and Engineering Managers,11-9021.00,Construction Managers,9
11-9041.00,Architectural and Engineering Managers,17-2112.00,Industrial Engineers,10
11-9051.00,Food Service Managers,35-1011.00,Chefs and Head Cooks,1
11-9051.00,Food Service Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2
11-9051.00,Food Service Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3
11-9051.00,Food Service Managers,11-1021.00,General and Operations Managers,4
11-9051.00,Food Service Managers,11-9081.00,Lodging Managers,5
11-9051.00,Food Service Managers,11-3051.00,Industrial Production Managers,6
11-9051.00,Food Service Managers,39-1021.00,First-Line Supervisors of Personal Service Workers,7
11-9051.00,Food Service Managers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,8
11-9051.00,Food Service Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,9
11-9051.00,Food Service Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,10
11-9071.00,Gaming Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
11-9071.00,Gaming Managers,11-3011.00,Administrative Services Managers,2
11-9071.00,Gaming Managers,39-1011.00,Gaming Supervisors,3
11-9071.00,Gaming Managers,11-1021.00,General and Operations Managers,4
11-9071.00,Gaming Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,5
11-9071.00,Gaming Managers,39-9041.00,Residential Advisors,6
11-9071.00,Gaming Managers,11-9081.00,Lodging Managers,7
11-9071.00,Gaming Managers,39-1021.00,First-Line Supervisors of Personal Service Workers,8
11-9071.00,Gaming Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,9
11-9071.00,Gaming Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,10
11-9081.00,Lodging Managers,11-1021.00,General and Operations Managers,1
11-9081.00,Lodging Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2
11-9081.00,Lodging Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,3
11-9081.00,Lodging Managers,11-9071.00,Gaming Managers,4
11-9081.00,Lodging Managers,11-9051.00,Food Service Managers,5
11-9081.00,Lodging Managers,11-3011.00,Administrative Services Managers,6
11-9081.00,Lodging Managers,11-3071.03,Logistics Managers,7
11-9081.00,Lodging Managers,39-1021.00,First-Line Supervisors of Personal Service Workers,8
11-9081.00,Lodging Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,9
11-9081.00,Lodging Managers,39-9041.00,Residential Advisors,10
11-9111.00,Medical and Health Services Managers,11-9032.00,"Education Administrators, Elementary and Secondary School",1
11-9111.00,Medical and Health Services Managers,29-1031.00,Dietitians and Nutritionists,2
11-9111.00,Medical and Health Services Managers,11-9151.00,Social and Community Service Managers,3
11-9111.00,Medical and Health Services Managers,11-9033.00,"Education Administrators, Postsecondary",4
11-9111.00,Medical and Health Services Managers,11-1011.00,Chief Executives,5
11-9111.00,Medical and Health Services Managers,11-3121.00,Human Resources Managers,6
11-9111.00,Medical and Health Services Managers,25-9031.00,Instructional Coordinators,7
11-9111.00,Medical and Health Services Managers,11-3131.00,Training and Development Managers,8
11-9111.00,Medical and Health Services Managers,11-3061.00,Purchasing Managers,9
11-9111.00,Medical and Health Services Managers,13-1111.00,Management Analysts,10
11-9121.00,Natural Sciences Managers,19-1020.01,Biologists,1
11-9121.00,Natural Sciences Managers,19-2041.00,"Environmental Scientists and Specialists, Including Health",2
11-9121.00,Natural Sciences Managers,19-2032.00,Materials Scientists,3
11-9121.00,Natural Sciences Managers,25-1052.00,"Chemistry Teachers, Postsecondary",4
11-9121.00,Natural Sciences Managers,19-2099.01,Remote Sensing Scientists and Technologists,5
11-9121.00,Natural Sciences Managers,19-1023.00,Zoologists and Wildlife Biologists,6
11-9121.00,Natural Sciences Managers,19-1011.00,Animal Scientists,7
11-9121.00,Natural Sciences Managers,19-1013.00,Soil and Plant Scientists,8
11-9121.00,Natural Sciences Managers,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",9
11-9121.00,Natural Sciences Managers,19-1031.01,Soil and Water Conservationists,10
11-9121.01,Clinical Research Coordinators,11-9199.01,Regulatory Affairs Managers,1
11-9121.01,Clinical Research Coordinators,13-1041.07,Regulatory Affairs Specialists,2
11-9121.01,Clinical Research Coordinators,13-2011.02,Auditors,3
11-9121.01,Clinical Research Coordinators,15-2041.02,Clinical Data Managers,4
11-9121.01,Clinical Research Coordinators,13-2099.04,"Fraud Examiners, Investigators and Analysts",5
11-9121.01,Clinical Research Coordinators,13-1111.00,Management Analysts,6
11-9121.01,Clinical Research Coordinators,13-1151.00,Training and Development Specialists,7
11-9121.01,Clinical Research Coordinators,13-1071.00,Human Resources Specialists,8
11-9121.01,Clinical Research Coordinators,19-4061.00,Social Science Research Assistants,9
11-9121.01,Clinical Research Coordinators,43-4051.03,Patient Representatives,10
11-9131.00,Postmasters and Mail Superintendents,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
11-9131.00,Postmasters and Mail Superintendents,11-3011.00,Administrative Services Managers,2
11-9131.00,Postmasters and Mail Superintendents,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,3
11-9131.00,Postmasters and Mail Superintendents,11-1021.00,General and Operations Managers,4
11-9131.00,Postmasters and Mail Superintendents,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",5
11-9131.00,Postmasters and Mail Superintendents,39-9041.00,Residential Advisors,6
11-9131.00,Postmasters and Mail Superintendents,39-1021.00,First-Line Supervisors of Personal Service Workers,7
11-9131.00,Postmasters and Mail Superintendents,11-9081.00,Lodging Managers,8
11-9131.00,Postmasters and Mail Superintendents,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",9
11-9131.00,Postmasters and Mail Superintendents,11-3071.01,Transportation Managers,10
11-9141.00,"Property, Real Estate, and Community Association Managers",11-3011.00,Administrative Services Managers,1
11-9141.00,"Property, Real Estate, and Community Association Managers",41-9021.00,Real Estate Brokers,2
11-9141.00,"Property, Real Estate, and Community Association Managers",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3
11-9141.00,"Property, Real Estate, and Community Association Managers",13-2072.00,Loan Officers,4
11-9141.00,"Property, Real Estate, and Community Association Managers",43-3061.00,Procurement Clerks,5
11-9141.00,"Property, Real Estate, and Community Association Managers",41-9022.00,Real Estate Sales Agents,6
11-9141.00,"Property, Real Estate, and Community Association Managers",43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,7
11-9141.00,"Property, Real Estate, and Community Association Managers",39-7012.00,Travel Guides,8
11-9141.00,"Property, Real Estate, and Community Association Managers",41-3011.00,Advertising Sales Agents,9
11-9141.00,"Property, Real Estate, and Community Association Managers",13-2021.01,Assessors,10
11-9151.00,Social and Community Service Managers,11-3121.00,Human Resources Managers,1
11-9151.00,Social and Community Service Managers,11-9111.00,Medical and Health Services Managers,2
11-9151.00,Social and Community Service Managers,11-9032.00,"Education Administrators, Elementary and Secondary School",3
11-9151.00,Social and Community Service Managers,11-3131.00,Training and Development Managers,4
11-9151.00,Social and Community Service Managers,21-2011.00,Clergy,5
11-9151.00,Social and Community Service Managers,11-9033.00,"Education Administrators, Postsecondary",6
11-9151.00,Social and Community Service Managers,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",7
11-9151.00,Social and Community Service Managers,13-1151.00,Training and Development Specialists,8
11-9151.00,Social and Community Service Managers,11-9161.00,Emergency Management Directors,9
11-9151.00,Social and Community Service Managers,21-1021.00,"Child, Family, and School Social Workers",10
11-9161.00,Emergency Management Directors,29-9011.00,Occupational Health and Safety Specialists,1
11-9161.00,Emergency Management Directors,25-2032.00,"Career/Technical Education Teachers, Secondary School",2
11-9161.00,Emergency Management Directors,19-1031.01,Soil and Water Conservationists,3
